Date,Close,Volume,Open,High,Low
12/14/20,3647.49,--,3675.27,3697.61,3645.84
12/11/20,3663.46,--,3656.08,3665.91,3633.4
12/10/20,3668.1,--,3659.13,3678.49,3645.18
12/9/20,3672.82,--,3705.98,3712.39,3660.54
12/8/20,3702.25,--,3683.05,3708.45,3678.83
12/7/20,3691.96,--,3694.73,3697.41,3678.88
12/4/20,3699.12,--,3670.94,3699.2,3670.94
12/3/20,3666.72,--,3668.28,3682.73,3657.17
12/2/20,3669.01,--,3653.78,3670.96,3644.84
12/1/20,3662.45,--,3645.87,3678.45,3645.87
11/30/20,3621.63,--,3634.18,3634.18,3594.39
11/27/20,3638.35,--,3638.55,3644.31,3629.33
11/25/20,3629.65,--,3635.5,3635.5,3617.76
11/24/20,3635.41,--,3594.52,3642.31,3594.52
11/23/20,3577.59,--,3566.82,3589.81,3552.77
11/20/20,3557.54,--,3579.31,3581.23,3556.85
11/19/20,3581.87,--,3559.41,3585.22,3543.84
11/18/20,3567.79,--,3612.09,3619.09,3567.33
11/17/20,3609.53,--,3610.31,3623.11,3588.68
11/16/20,3626.91,--,3600.16,3628.51,3600.16
11/13/20,3585.15,--,3552.57,3593.66,3552.57
11/12/20,3537.01,--,3562.67,3569.02,3518.58
11/11/20,3572.66,--,3563.22,3581.16,3557
11/10/20,3545.53,--,3543.26,3557.22,3511.91
11/9/20,3550.5,--,3583.04,3645.99,3547.48
11/6/20,3509.44,--,3508.34,3521.58,3484.34
11/5/20,3510.45,--,3485.74,3529.05,3485.74
11/4/20,3443.44,--,3406.46,3486.25,3405.17
11/3/20,3369.02,--,3336.25,3389.49,3336.25
11/2/20,3310.24,--,3296.2,3330.14,3279.74
10/30/20,3269.96,--,3293.59,3304.93,3233.94
10/29/20,3310.11,--,3277.17,3341.05,3259.82
10/28/20,3271.03,--,3342.48,3342.48,3268.89
10/27/20,3390.68,--,3403.15,3409.51,3388.71
10/26/20,3400.97,--,3441.42,3441.42,3364.86
10/23/20,3465.39,--,3464.9,3466.46,3440.45
10/22/20,3453.49,--,3438.5,3460.53,3415.34
10/21/20,3435.56,--,3439.91,3464.86,3433.06
10/20/20,3443.12,--,3439.38,3476.93,3435.65
10/19/20,3426.92,--,3493.66,3502.42,3419.93
10/16/20,3483.81,--,3493.5,3515.76,3480.45
10/15/20,3483.34,--,3453.72,3489.08,3440.89
10/14/20,3488.67,--,3515.47,3527.94,3480.55
10/13/20,3511.93,--,3534.01,3534.01,3500.86
10/12/20,3534.22,--,3500.02,3549.85,3499.61
10/9/20,3477.13,--,3459.67,3482.34,3458.07
10/8/20,3446.83,--,3434.28,3447.28,3428.15
10/7/20,3419.45,--,3384.56,3426.26,3384.56
10/6/20,3360.95,--,3408.74,3431.56,3354.54
10/5/20,3408.63,--,3367.27,3409.57,3367.27
10/2/20,3348.44,--,3338.94,3369.1,3323.69
10/1/20,3380.8,--,3385.87,3397.18,3361.39
9/30/20,3363,--,3341.21,3393.56,3340.47
9/29/20,3335.47,--,3350.92,3357.92,3327.54
9/28/20,3351.6,--,3333.9,3360.74,3332.91
9/25/20,3298.46,--,3236.66,3306.88,3228.44
9/24/20,3246.59,--,3226.14,3278.7,3209.45
9/23/20,3236.92,--,3320.11,3323.35,3232.57
9/22/20,3315.57,--,3295.75,3320.31,3270.95
9/21/20,3281.06,--,3285.57,3285.57,3229.1
9/18/20,3319.47,--,3357.38,3362.27,3292.4
9/17/20,3357.01,--,3346.86,3375.17,3328.82
9/16/20,3385.49,--,3411.23,3428.92,3384.45
9/15/20,3401.2,--,3407.73,3419.48,3389.25
9/14/20,3383.54,--,3363.56,3402.93,3363.56
9/11/20,3340.97,--,3352.7,3368.95,3310.47
9/10/20,3339.19,--,3412.56,3425.55,3329.25
9/9/20,3398.96,--,3369.82,3424.77,3366.84
9/8/20,3331.84,--,3371.88,3379.97,3329.27
9/4/20,3426.96,--,3453.6,3479.15,3349.63
9/3/20,3455.06,--,3564.74,3564.85,3427.41
9/2/20,3580.84,--,3543.76,3588.11,3535.23
9/1/20,3526.65,--,3507.44,3528.03,3494.6
8/31/20,3500.31,--,3509.73,3514.77,3493.25
8/28/20,3508.01,--,3494.69,3509.23,3484.32
8/27/20,3484.55,--,3485.14,3501.38,3468.35
8/26/20,3478.73,--,3449.97,3481.07,3444.15
8/25/20,3443.62,--,3435.95,3444.21,3425.84
8/24/20,3431.28,--,3418.09,3432.09,3413.13
8/21/20,3397.16,--,3386.01,3399.96,3379.31
8/20/20,3385.51,--,3360.48,3390.8,3354.69
8/19/20,3374.85,--,3392.51,3399.54,3369.66
8/18/20,3389.78,--,3387.04,3395.06,3370.15
8/17/20,3381.99,--,3380.86,3387.59,3379.22
8/14/20,3372.85,--,3368.66,3378.51,3361.64
8/13/20,3373.43,--,3372.95,3387.24,3363.35
8/12/20,3380.35,--,3355.46,3387.89,3355.46
8/11/20,3333.69,--,3370.34,3381.01,3326.44
8/10/20,3360.47,--,3356.04,3363.29,3335.44
8/7/20,3351.28,--,3340.05,3352.54,3328.72
8/6/20,3349.16,--,3323.17,3351.03,3318.14
8/5/20,3327.77,--,3317.37,3330.77,3317.37
8/4/20,3306.51,--,3296.6,3306.84,3286.37
8/3/20,3294.61,--,3288.26,3302.73,3284.53
7/31/20,3271.12,--,3270.45,3272.17,3220.26
7/30/20,3246.22,--,3231.76,3250.92,3204.13
7/29/20,3258.44,--,3227.22,3264.74,3227.22
7/28/20,3218.44,--,3234.27,3243.72,3216.17
7/27/20,3239.41,--,3219.84,3241.43,3214.25
7/24/20,3215.63,--,3218.58,3227.26,3200.05
7/23/20,3235.66,--,3271.64,3279.99,3222.66
7/22/20,3276.02,--,3254.86,3279.32,3253.1
7/21/20,3257.3,--,3268.52,3277.29,3247.77
7/20/20,3251.84,--,3224.29,3258.61,3215.16
7/17/20,3224.73,--,3224.21,3233.52,3205.65
7/16/20,3215.57,--,3208.36,3220.39,3198.59
7/15/20,3226.56,--,3225.98,3238.28,3200.76
7/14/20,3197.52,--,3141.11,3200.95,3127.66
7/13/20,3155.22,--,3205.08,3235.32,3149.43
7/10/20,3185.04,--,3152.47,3186.82,3136.22
7/9/20,3152.05,--,3176.17,3179.78,3115.7
7/8/20,3169.94,--,3153.07,3171.8,3136.53
7/7/20,3145.32,--,3166.44,3184.15,3142.93
7/6/20,3179.72,--,3155.29,3182.59,3155.29
7/2/20,3130.01,--,3143.64,3165.81,3124.52
7/1/20,3115.86,--,3105.92,3128.44,3101.17
6/30/20,3100.29,--,3050.2,3111.51,3047.83
6/29/20,3053.24,--,3018.59,3053.89,2999.74
6/26/20,3009.05,--,3073.2,3073.73,3004.63
6/25/20,3083.76,--,3046.6,3086.25,3024.01
6/24/20,3050.33,--,3114.4,3115.01,3032.13
6/23/20,3131.29,--,3138.7,3154.9,3127.12
6/22/20,3117.86,--,3094.42,3120.92,3079.39
6/19/20,3097.74,--,3140.29,3155.53,3083.11
6/18/20,3115.34,--,3101.64,3120,3093.51
6/17/20,3113.49,--,3136.13,3141.16,3108.03
6/16/20,3124.74,--,3131,3153.45,3076.06
6/15/20,3066.59,--,2993.76,3079.76,2965.66
6/12/20,3041.31,--,3071.04,3088.42,2984.47
6/11/20,3002.1,--,3123.53,3123.53,2999.49
6/10/20,3190.14,--,3213.42,3223.27,3181.49
6/9/20,3207.18,--,3213.32,3222.71,3193.11
6/8/20,3232.39,--,3199.92,3233.13,3196
6/5/20,3193.93,--,3163.84,3211.72,3163.84
6/4/20,3112.35,--,3111.56,3128.91,3090.41
6/3/20,3122.87,--,3098.9,3130.94,3098.9
6/2/20,3080.82,--,3064.78,3081.07,3051.64
6/1/20,3055.73,--,3038.78,3062.18,3031.54
5/29/20,3044.31,--,3025.17,3049.17,2998.61
5/28/20,3029.73,--,3046.61,3068.67,3023.4
5/27/20,3036.13,--,3015.65,3036.25,2969.75
5/26/20,2991.77,--,3004.08,3021.72,2988.17
5/22/20,2955.45,--,2948.05,2956.76,2933.59
5/21/20,2948.51,--,2969.95,2978.5,2938.57
5/20/20,2971.61,--,2953.63,2980.29,2953.63
5/19/20,2922.94,--,2948.59,2964.21,2922.35
5/18/20,2953.91,--,2913.86,2968.09,2913.86
5/15/20,2863.7,--,2829.95,2865.01,2816.78
5/14/20,2852.5,--,2794.54,2852.8,2766.64
5/13/20,2820,--,2865.86,2874.14,2793.15
5/12/20,2870.12,--,2939.5,2945.82,2869.59
5/11/20,2930.32,--,2915.46,2944.25,2903.44
5/8/20,2929.8,--,2908.83,2932.16,2902.88
5/7/20,2881.19,--,2878.26,2901.92,2876.48
5/6/20,2848.42,--,2883.14,2891.11,2847.65
5/5/20,2868.44,--,2868.88,2898.23,2863.55
5/4/20,2842.74,--,2815.01,2844.24,2797.85
5/1/20,2830.71,--,2869.09,2869.09,2821.61
4/30/20,2912.43,--,2930.91,2930.91,2892.47
4/29/20,2939.51,--,2918.46,2954.86,2912.16
4/28/20,2863.39,--,2909.96,2921.15,2860.71
4/27/20,2878.48,--,2854.65,2887.72,2852.89
4/24/20,2836.74,--,2812.64,2842.71,2791.76
4/23/20,2797.8,--,2810.42,2844.9,2794.26
4/22/20,2799.31,--,2787.89,2815.1,2775.95
4/21/20,2736.56,--,2784.81,2785.54,2727.1
4/20/20,2823.16,--,2845.62,2868.98,2820.43
4/17/20,2874.56,--,2842.43,2879.22,2830.88
4/16/20,2799.55,--,2799.34,2806.51,2764.32
4/15/20,2783.36,--,2795.64,2801.88,2761.54
4/14/20,2846.06,--,2805.1,2851.85,2805.1
4/13/20,2761.63,--,2782.46,2782.46,2721.17
4/9/20,2789.82,--,2776.99,2818.57,2762.36
4/8/20,2749.98,--,2685,2760.75,2663.3
4/7/20,2659.41,--,2738.65,2756.89,2657.67
4/6/20,2663.68,--,2578.28,2676.85,2574.57
4/3/20,2488.65,--,2514.92,2538.18,2459.96
4/2/20,2526.9,--,2458.54,2533.22,2455.79
4/1/20,2470.5,--,2498.08,2522.75,2447.49
3/31/20,2584.59,--,2614.69,2641.39,2571.15
3/30/20,2626.65,--,2558.98,2631.8,2545.28
3/27/20,2541.47,--,2555.87,2615.91,2520.02
3/26/20,2630.07,--,2501.29,2637.01,2500.72
3/25/20,2475.56,--,2457.77,2571.42,2407.53
3/24/20,2447.33,--,2344.44,2449.71,2344.44
3/23/20,2237.4,--,2290.71,2300.73,2191.86
3/20/20,2304.92,--,2431.94,2453.01,2295.56
3/19/20,2409.39,--,2393.48,2466.97,2319.78
3/18/20,2398.1,--,2436.5,2453.57,2280.52
3/17/20,2529.19,--,2425.66,2553.93,2367.04
3/16/20,2386.13,--,2508.59,2562.98,2380.94
3/13/20,2711.02,--,2569.99,2711.33,2492.37
3/12/20,2480.64,--,2630.86,2660.95,2478.86
3/11/20,2741.38,--,2825.6,2825.6,2707.22
3/10/20,2882.23,--,2813.48,2882.59,2734
3/9/20,2746.56,--,2863.89,2863.89,2734.43
3/6/20,2972.37,--,2954.2,2985.93,2901.54
3/5/20,3023.94,--,3075.7,3083.04,2999.83
3/4/20,3130.12,--,3045.75,3130.97,3034.38
3/3/20,3003.37,--,3096.46,3136.72,2976.63
3/2/20,3090.23,--,2974.28,3090.96,2945.19
2/28/20,2954.22,--,2916.9,2959.72,2855.84
2/27/20,2978.76,--,3062.54,3097.07,2977.39
2/26/20,3116.39,--,3139.9,3182.51,3108.99
2/25/20,3128.21,--,3238.94,3246.99,3118.77
2/24/20,3225.89,--,3257.61,3259.81,3214.65
2/21/20,3337.75,--,3360.5,3360.76,3328.45
2/20/20,3373.23,--,3380.45,3389.15,3341.02
2/19/20,3386.15,--,3380.39,3393.52,3378.83
2/18/20,3370.29,--,3369.04,3375.01,3355.61
2/14/20,3380.16,--,3378.08,3380.69,3366.15
2/13/20,3373.94,--,3365.9,3385.09,3360.52
2/12/20,3379.45,--,3370.5,3381.47,3369.72
2/11/20,3357.75,--,3365.87,3375.63,3352.72
2/10/20,3352.09,--,3318.28,3352.26,3317.77
2/7/20,3327.71,--,3335.54,3341.42,3322.12
2/6/20,3345.78,--,3344.92,3347.96,3334.39
2/5/20,3334.69,--,3324.91,3337.58,3313.75
2/4/20,3297.59,--,3280.61,3306.92,3280.61
2/3/20,3248.92,--,3235.66,3268.44,3235.66
1/31/20,3225.52,--,3282.33,3282.33,3214.68
1/30/20,3283.66,--,3256.45,3285.91,3242.8
1/29/20,3273.4,--,3289.46,3293.47,3271.89
1/28/20,3276.24,--,3255.35,3285.78,3253.22
1/27/20,3243.63,--,3247.16,3258.85,3234.5
1/24/20,3295.47,--,3333.1,3333.18,3281.53
1/23/20,3325.54,--,3315.77,3326.88,3301.87
1/22/20,3321.75,--,3330.02,3337.77,3320.04
1/21/20,3320.79,--,3321.03,3329.79,3316.61
1/17/20,3329.62,--,3323.66,3329.88,3318.86
1/16/20,3316.81,--,3302.97,3317.11,3302.82
1/15/20,3289.29,--,3282.27,3298.66,3280.69
1/14/20,3283.15,--,3285.35,3294.25,3277.19
1/13/20,3288.13,--,3271.13,3288.13,3268.43
1/10/20,3265.35,--,3281.81,3282.99,3260.86
1/9/20,3274.7,--,3266.03,3275.58,3263.67
1/8/20,3253.05,--,3238.59,3267.07,3236.67
1/7/20,3237.18,--,3241.86,3244.91,3232.43
1/6/20,3246.28,--,3217.55,3246.84,3214.64
1/3/20,3234.85,--,3226.36,3246.15,3222.34
1/2/20,3257.85,--,3244.67,3258.14,3235.53
12/31/19,3230.78,--,3215.18,3231.72,3212.03
12/30/19,3221.29,--,3240.09,3240.92,3216.57
12/27/19,3240.02,--,3247.23,3247.93,3234.37
12/26/19,3239.91,--,3227.2,3240.08,3227.2
12/24/19,3223.38,--,3225.45,3226.43,3220.51
12/23/19,3224.01,--,3226.05,3227.78,3222.3
12/20/19,3221.22,--,3223.33,3225.65,3216.03
12/19/19,3205.37,--,3192.32,3205.48,3192.32
12/18/19,3191.14,--,3195.21,3198.48,3191.14
12/17/19,3192.52,--,3195.4,3198.22,3191.03
12/16/19,3191.45,--,3183.63,3197.71,3183.63
12/13/19,3168.8,--,3166.65,3182.68,3156.51
12/12/19,3168.57,--,3141.23,3176.28,3138.47
12/11/19,3141.63,--,3135.75,3143.98,3133.21
12/10/19,3132.52,--,3135.36,3142.12,3126.09
12/9/19,3135.96,--,3141.86,3148.87,3135.46
12/6/19,3145.91,--,3134.62,3150.6,3134.62
12/5/19,3117.43,--,3119.21,3119.45,3103.76
12/4/19,3112.76,--,3103.5,3119.38,3102.53
12/3/19,3093.2,--,3087.41,3094.97,3070.33
12/2/19,3113.87,--,3143.85,3144.31,3110.78
11/29/19,3140.98,--,3147.18,3150.3,3139.34
11/27/19,3153.63,--,3145.49,3154.26,3143.41
11/26/19,3140.52,--,3134.85,3142.69,3131
11/25/19,3133.64,--,3117.44,3133.83,3117.44
11/22/19,3110.29,--,3111.41,3112.87,3099.26
11/21/19,3103.54,--,3108.49,3110.11,3094.55
11/20/19,3108.46,--,3114.66,3118.97,3091.41
11/19/19,3120.18,--,3127.45,3127.64,3113.47
11/18/19,3122.03,--,3117.91,3124.17,3112.06
11/15/19,3120.46,--,3107.92,3120.46,3104.6
11/14/19,3096.63,--,3090.75,3098.2,3083.26
11/13/19,3094.04,--,3084.18,3098.06,3078.8
11/12/19,3091.84,--,3089.28,3102.61,3084.73
11/11/19,3087.01,--,3080.33,3088.33,3075.82
11/8/19,3093.08,--,3081.25,3093.09,3073.58
11/7/19,3085.18,--,3087.02,3097.77,3080.23
11/6/19,3076.78,--,3075.1,3078.34,3065.89
11/5/19,3074.62,--,3080.8,3083.95,3072.15
11/4/19,3078.27,--,3078.96,3085.2,3074.87
11/1/19,3066.91,--,3050.72,3066.95,3050.72
10/31/19,3037.56,--,3046.9,3046.9,3023.19
10/30/19,3046.77,--,3039.74,3050.1,3025.96
10/29/19,3036.89,--,3035.39,3047.87,3034.81
10/28/19,3039.42,--,3032.12,3044.08,3032.12
10/25/19,3022.55,--,3003.32,3027.39,3001.94
10/24/19,3010.29,--,3014.78,3016.07,3000.42
10/23/19,3004.52,--,2994.01,3004.78,2991.21
10/22/19,2995.99,--,3010.73,3014.57,2995.04
10/21/19,3006.72,--,2996.48,3007.33,2995.35
10/18/19,2986.2,--,2996.84,3000,2976.31
10/17/19,2997.95,--,3000.77,3008.29,2991.79
10/16/19,2989.69,--,2989.68,2997.54,2985.2
10/15/19,2995.68,--,2973.61,3003.28,2973.61
10/14/19,2966.15,--,2965.81,2972.84,2962.94
10/11/19,2970.27,--,2963.07,2993.28,2963.07
10/10/19,2938.13,--,2918.55,2948.46,2917.12
10/9/19,2919.4,--,2911.1,2929.32,2907.41
10/8/19,2893.06,--,2920.4,2925.47,2892.66
10/7/19,2938.79,--,2944.23,2959.75,2935.68
10/4/19,2952.01,--,2918.56,2953.74,2918.56
10/3/19,2910.63,--,2885.38,2911.13,2855.94
10/2/19,2887.61,--,2924.78,2924.78,2874.93
10/1/19,2940.25,--,2983.69,2992.53,2938.7
9/30/19,2976.74,--,2967.07,2983.85,2967.07
9/27/19,2961.79,--,2985.47,2987.31,2945.53
9/26/19,2977.62,--,2985.73,2987.28,2963.71
9/25/19,2984.87,--,2968.35,2989.82,2952.86
9/24/19,2966.6,--,3002.43,3007.98,2957.73
9/23/19,2991.78,--,2983.5,2999.15,2982.23
9/20/19,2992.07,--,3008.42,3016.37,2984.68
9/19/19,3006.79,--,3010.36,3021.99,3003.16
9/18/19,3006.73,--,3001.5,3007.83,2978.57
9/17/19,3005.7,--,2995.67,3006.21,2993.73
9/16/19,2997.96,--,2996.41,3002.19,2990.67
9/13/19,3007.39,--,3012.21,3017.33,3002.9
9/12/19,3009.57,--,3009.08,3020.74,3000.92
9/11/19,3000.93,--,2981.41,3000.93,2975.31
9/10/19,2979.39,--,2971.01,2979.39,2957.01
9/9/19,2978.43,--,2988.43,2989.43,2969.39
9/6/19,2978.71,--,2980.33,2985.03,2972.51
9/5/19,2976,--,2960.6,2985.86,2960.6
9/4/19,2937.78,--,2924.67,2938.84,2921.86
9/3/19,2906.27,--,2909.01,2914.39,2891.85
8/30/19,2926.46,--,2937.09,2940.43,2913.32
8/29/19,2924.58,--,2910.37,2930.5,2905.67
8/28/19,2887.94,--,2861.28,2890.03,2853.05
8/27/19,2869.16,--,2893.14,2898.79,2860.59
8/26/19,2878.38,--,2866.7,2879.27,2856
8/23/19,2847.11,--,2911.07,2927.01,2834.97
8/22/19,2922.95,--,2930.94,2939.08,2904.51
8/21/19,2924.43,--,2922.04,2928.73,2917.91
8/20/19,2900.51,--,2919.01,2923.63,2899.6
8/19/19,2923.65,--,2913.48,2931,2913.48
8/16/19,2888.68,--,2864.74,2893.63,2864.74
8/15/19,2847.6,--,2846.2,2856.67,2825.51
8/14/19,2840.6,--,2894.15,2894.15,2839.64
8/13/19,2926.32,--,2880.72,2943.31,2877.05
8/12/19,2883.09,--,2907.07,2907.58,2873.14
8/9/19,2918.65,--,2930.51,2935.75,2900.15
8/8/19,2938.09,--,2896.21,2938.72,2894.47
8/7/19,2883.98,--,2858.65,2892.17,2825.71
8/6/19,2881.77,--,2861.18,2884.4,2847.42
8/5/19,2844.74,--,2898.07,2898.07,2822.12
8/2/19,2932.05,--,2943.9,2945.5,2914.11
8/1/19,2953.56,--,2980.32,3013.59,2945.23
7/31/19,2980.38,--,3016.22,3017.4,2958.08
7/30/19,3013.18,--,3007.66,3017.19,3000.94
7/29/19,3020.97,--,3024.47,3025.61,3014.3
7/26/19,3025.86,--,3013.25,3027.98,3012.59
7/25/19,3003.67,--,3016.26,3016.31,2997.24
